,ds,yhat,yhat_lower,yhat_upper,users
16690,2019-01-25 10:00:00,149.4210215324833,110.1236018402334,191.25269734001995,171.0
16691,2019-01-25 11:00:00,158.84161972862665,116.2907284434539,200.01940750543346,199.0
16692,2019-01-25 12:00:00,164.6416291884372,122.35169974376552,204.8520257868912,234.0
16693,2019-01-25 13:00:00,169.206728982338,127.58306870391732,211.06885983915876,214.0
16694,2019-01-25 14:00:00,172.62299926771863,131.78456664794544,212.59631187936924,218.0
16695,2019-01-25 15:00:00,172.55039843319608,130.98140449094976,212.96263136026866,217.0
16696,2019-01-25 16:00:00,167.53280244568373,125.90569951119215,208.08954405665853,223.0
16697,2019-01-25 17:00:00,160.091280230036,121.13153741759024,200.22550550391765,186.0
16698,2019-01-25 18:00:00,155.79052189197458,117.41726727742329,198.35989769016257,173.0
16699,2019-01-25 19:00:00,158.44221141569855,117.7985760913796,197.87992382777531,178.0
16700,2019-01-25 20:00:00,165.80948934870858,124.74590708838886,209.83177999400965,185.0
16701,2019-01-25 21:00:00,170.26171481872174,126.9109530999132,211.1706245359994,176.0
16702,2019-01-25 22:00:00,164.42746212137277,124.44942518139152,208.0472862565537,187.0
16703,2019-01-25 23:00:00,147.1277275156466,107.16822195039839,188.49313601428804,153.0
16704,2019-01-26 00:00:00,124.38478661895536,83.49349090280062,161.4130100204845,117.0
16705,2019-01-26 01:00:00,104.68408142918031,65.31205226774021,147.25488779012002,98.0
16706,2019-01-26 02:00:00,92.80598212711394,52.04534242363064,130.28046117891682,76.0
16707,2019-01-26 03:00:00,87.59457570375855,44.22620751184417,129.86883664511663,66.0
16708,2019-01-26 04:00:00,85.10127621114668,46.66788938811942,130.26053987470974,47.0
16709,2019-01-26 05:00:00,83.51155870864733,41.576096656696755,124.24764655653476,43.0
16710,2019-01-26 06:00:00,84.94533002887835,44.10413895141351,127.05146315936045,51.0
16711,2019-01-26 07:00:00,92.68003752228981,52.743766625404206,136.12461322717823,74.0
16712,2019-01-26 08:00:00,106.97744564325518,63.04415076405093,147.7770468522624,117.0
16713,2019-01-26 09:00:00,123.90466553491046,85.18056698684154,166.92822056855653,129.0
16714,2019-01-26 10:00:00,138.29679314237018,94.49641997298167,179.35172097801686,160.0
16715,2019-01-26 11:00:00,147.75485000315237,107.70356506736023,188.05378164892664,195.0
16716,2019-01-26 12:00:00,153.65192475099394,115.55077627159123,196.10647339063732,181.0
16717,2019-01-26 13:00:00,158.3753669508745,118.2257615525769,203.92010033225202,204.0
16718,2019-01-26 14:00:00,162.01246848199443,118.3998286228707,203.36459391847305,203.0
16719,2019-01-26 15:00:00,162.22391907312118,119.50908771267324,202.3084923845087,214.0
16720,2019-01-26 16:00:00,157.55382857043438,115.06185210933435,198.28644926059522,214.0
16721,2019-01-26 17:00:00,150.52299001392416,108.89320389434184,191.6207882060754,190.0
16722,2019-01-26 18:00:00,146.69530051989943,105.90683290750275,189.2432274828893,157.0
16723,2019-01-26 19:00:00,149.8811317394908,110.93243354604668,194.8407823883654,187.0
16724,2019-01-26 20:00:00,157.84179547975998,115.42269549700337,197.39383373156818,166.0
16725,2019-01-26 21:00:00,162.94431386147826,120.81673674821687,203.72622400285604,170.0
16726,2019-01-26 22:00:00,157.81442920934919,115.41933239470742,198.9098511380678,177.0
16727,2019-01-26 23:00:00,141.26982922283665,101.01944461175489,181.02802415953886,143.0
16728,2019-01-27 00:00:00,119.32902765423708,80.26255817744581,163.07648820806594,134.0
16729,2019-01-27 01:00:00,100.47327933541105,58.485070442021176,140.8636632430857,94.0
16730,2019-01-27 02:00:00,89.47837442094045,51.042435765690534,128.31636129978708,79.0
16731,2019-01-27 03:00:00,85.18346359651841,42.35009646688359,128.38924054756885,51.0
16732,2019-01-27 04:00:00,83.63470867582112,40.05821090985373,123.7241453452445,47.0
16733,2019-01-27 05:00:00,83.01206027328874,42.63946439604027,126.13984925931959,45.0
16734,2019-01-27 06:00:00,85.42967521753687,45.278373951274325,127.43516494390066,51.0
16735,2019-01-27 07:00:00,94.15907438974753,52.35393039745795,136.30902866632525,79.0
16736,2019-01-27 08:00:00,109.45597035955973,70.15835557935593,150.7285380584867,77.0
16737,2019-01-27 09:00:00,127.38134942020066,86.09492057924822,166.69668242881082,144.0
16738,2019-01-27 10:00:00,142.76416304181882,100.85432349345815,184.21116159668745,174.0
16739,2019-01-27 11:00:00,153.19932230358575,111.1516479126632,193.99504927784685,184.0
16740,2019-01-27 12:00:00,160.05389280386663,117.47639654171147,202.67885337479822,215.0
16741,2019-01-27 13:00:00,165.70934109752832,125.82595320821659,211.4206501315126,251.0
16742,2019-01-27 14:00:00,170.24726733390784,128.03737059407703,213.36521695915926,258.0
16743,2019-01-27 15:00:00,171.3229101614513,129.4814317488915,210.9191665384636,263.0
16744,2019-01-27 16:00:00,167.47521597059392,127.40022133042581,206.03942014617795,260.0
16745,2019-01-27 17:00:00,161.22014606408254,119.36599986269647,201.2942026813984,269.0
16746,2019-01-27 18:00:00,158.11713829471665,115.78276260353496,198.65075733967547,252.0
16747,2019-01-27 19:00:00,161.97251453089763,121.55881084792789,202.9108837116432,275.0
16748,2019-01-27 20:00:00,170.54397915901455,130.33428051496287,211.82850635730802,299.0
16749,2019-01-27 21:00:00,176.19541767296886,134.47108858110892,217.75150884580597,314.0
16750,2019-01-27 22:00:00,171.549930263517,131.91711001212067,212.7614868598637,248.0
16751,2019-01-27 23:00:00,155.4230757403253,113.36689929903172,198.47177088344154,207.0
16752,2019-01-28 00:00:00,133.83176584100008,89.60579998029151,175.87846473201762,142.0
16753,2019-01-28 01:00:00,115.25618865591301,73.38127550450628,156.2953981730889,95.0
16754,2019-01-28 02:00:00,104.47160599002835,64.41258690880966,145.4651875728428,67.0
16755,2019-01-28 03:00:00,100.31717641104919,62.67601909140079,141.64099266056834,235.0
16756,2019-01-28 04:00:00,98.83959848256914,60.44514559468518,141.2283477363531,66.0
16757,2019-01-28 05:00:00,98.21987597582833,55.10550840704171,139.0434225075846,49.0
16758,2019-01-28 06:00:00,100.5737179188387,59.87904391168365,140.84399037749424,57.0
16759,2019-01-28 07:00:00,109.17467439598092,66.06425477496806,151.6744040993659,94.0
16760,2019-01-28 08:00:00,124.28093774008973,81.05135107473149,165.07709723256644,113.0
