Day Index,Revenue
6/5/18,$871.40
6/6/18,$627.57
6/7/18,$289.82
6/8/18,$287.55
6/9/18,$323.67
6/10/18,$636.95
6/11/18,$869.59
6/12/18,$361.28
6/13/18,"$1,061.18"
6/14/18,$601.40
6/15/18,$159.62
6/16/18,$558.39
6/17/18,$897.56
6/18/18,$664.81
6/19/18,$706.74
6/20/18,$512.30
6/21/18,$427.43
6/22/18,$373.40
6/23/18,$96.12
6/24/18,$28.96
6/25/18,$927.81
6/26/18,$755.92
6/27/18,$488.66
6/28/18,$648.91
6/29/18,$459.66
6/30/18,$389.27
7/1/18,$643.00
7/2/18,"$1,027.79"
7/3/18,$557.72
7/4/18,$72.29
7/5/18,"$1,220.27"
7/6/18,"$1,132.33"
7/7/18,$341.34
7/8/18,$731.09
7/9/18,"$1,511.39"
7/10/18,$714.20
7/11/18,$952.93
7/12/18,$514.92
7/13/18,$743.40
7/14/18,$541.61
7/15/18,$617.21
7/16/18,$939.76
7/17/18,"$1,233.19"
7/18/18,"$1,103.55"
7/19/18,$358.81
7/20/18,$491.28
7/21/18,$204.26
7/22/18,$351.00
7/23/18,"$1,132.07"
7/24/18,$852.43
7/25/18,$632.31
7/26/18,$323.52
7/27/18,$838.60
7/28/18,$388.92
7/29/18,$355.95
7/30/18,$589.31
7/31/18,$800.43
8/1/18,$370.28
8/2/18,$677.12
8/3/18,$370.04
8/4/18,$813.70
8/5/18,$477.34
8/6/18,$594.33
8/7/18,"$1,223.58"
8/8/18,$975.56
8/9/18,$295.28
8/10/18,$615.01
8/11/18,$588.02
8/12/18,$690.04
8/13/18,"$1,273.54"
8/14/18,$398.26
8/15/18,$196.06
8/16/18,$485.39
8/17/18,$425.18
8/18/18,$183.89
8/19/18,$502.70
8/20/18,$339.77
8/21/18,$531.46
8/22/18,$588.17
8/23/18,$416.06
8/24/18,$190.21
8/25/18,$55.39
8/26/18,$588.85
8/27/18,$598.41
8/28/18,$431.07
8/29/18,$452.10
8/30/18,$338.11
8/31/18,$426.03
9/1/18,$175.99
9/2/18,$341.76
9/3/18,$183.62
9/4/18,$408.64
9/5/18,$916.64
9/6/18,$255.39
9/7/18,$38.98
9/8/18,$62.33
9/9/18,$330.20
9/10/18,$572.39
9/11/18,$177.43
9/12/18,$557.97
9/13/18,$298.02
9/14/18,$292.51
9/15/18,$145.97
9/16/18,$605.66
9/17/18,$419.31
9/18/18,$485.98
9/19/18,$225.68
9/20/18,$375.53
9/21/18,$222.36
9/22/18,$42.43
9/23/18,$197.82
9/24/18,$707.60
9/25/18,$621.09
9/26/18,$428.10
9/27/18,$113.04
9/28/18,$31.94
9/29/18,$328.69
9/30/18,$430.80
10/1/18,$504.55
10/2/18,$371.13
10/3/18,$226.49
10/4/18,$41.96
10/5/18,$333.75
10/6/18,$75.24
10/7/18,$87.16
10/8/18,$136.44
10/9/18,$186.51
10/10/18,$354.77
10/11/18,$201.84
10/12/18,$0.00
10/13/18,$433.92
10/14/18,$341.68
10/15/18,$142.60
10/16/18,$181.13
10/17/18,$338.83
10/18/18,$397.52
10/19/18,$198.80
10/20/18,$88.40
10/21/18,$87.56
10/22/18,$142.25
10/23/18,$311.70
10/24/18,$16.68
10/25/18,$262.89
10/26/18,$135.14
10/27/18,$222.44
10/28/18,$38.38
