Product SKU,Transaction ID,Product,Region,Product Category (Enhanced Ecommerce),Product Revenue,Quantity
TAN800-FSTR-L,#7219,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / L,California,Tanks,$120.00,6
TAN800-FSTR-M,#6777,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,New Jersey,Tanks,$120.00,6
TAN800-FSTR-M,#6904,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,Pennsylvania,Tanks,$120.00,6
TAN800-FSTR-M,#7454,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,Washington,Tanks,$120.00,6
TAN900-T-M,#7413,Mermaid Squad Tanks - Mermaid Squad (Teal) / M,Kansas,Tanks,$120.00,6
TUM100,#8499,Blue & Purple Confetti Tumbler,Alabama,Party Cups & Tumblers,$120.00,10
TUM200,#6931,Blush Ombre Confetti Tumbler,Indiana,Party Cups & Tumblers,$120.00,12
TUM200,#7358,Blush Ombre Confetti Tumbler,Delaware,Party Cups & Tumblers,$120.00,12
TUM600,#8072,Mint Ombre Confetti Tumbler,Virginia,Party Cups & Tumblers,$120.00,10
TUM700,#7481,Pink Ombre Confetti Tumbler,Ohio,Party Cups & Tumblers,$120.00,10
TUM700,#8373,Pink Ombre Confetti Tumbler,Texas,Party Cups & Tumblers,$120.00,10
TAN200-BEAC-S,#7883,Aloha Beaches Tanks - Aloha Beaches (Yellow Tank) / S,District of Columbia,Tanks,$119.70,6
HAI700,#7419,Squad Headband,California,Hair Accessories,$116.35,13
TAN100-CHRS-M,#3188,Future Mrs. | Cheers Bitches Tank Tops - Cheers Bitches (Pink Tank) / M,Washington,Tanks,$114.75,5
TAN200-BEAC-M,#7070,Aloha Beaches Tanks - Aloha Beaches (Yellow Tank) / M,New York,Tanks,$114.75,5
TAN500-JD-BLACK-L,#7368,Drunk in Love Tanks - Just Drunk (Black Tank) / L,Kentucky,Tanks,$113.70,6
29314607437,#1455,Pineapple Mason Jar Sipper,Alabama,Party Cups & Tumblers,$112.00,7
SUN300,#6769,Daisy Sunnies,Texas,Sunglasses,$112.00,16
SUN300,#7271,Daisy Sunnies,Oregon,Sunglasses,$112.00,14
29304636365,#1831,Acrylic Confetti Wine Tumbler - Blush Ombre,Ontario,Party Cups & Tumblers,$110.00,11
TAN1200-NAU-M,#8996,Let's Get Nauti Tanks - Let's Get Nauti (Navy) / M,Alaska,Tees & Tanks,$110.00,5
TUM200,#6809,Blush Ombre Confetti Tumbler,District of Columbia,Party Cups & Tumblers,$110.00,11
TUM200,#7104,Blush Ombre Confetti Tumbler,Iowa,Party Cups & Tumblers,$110.00,11
TUM1000,#9054,Take Me To The Lake Confetti Tumbler,Maryland,Party Cups & Tumblers,$108.00,9
TUM1300,#8981,Pink Glass Diamond Sipper with Straw,California,Party Cups & Tumblers,$108.00,6
TUM1400-BT,#3197,Bride Tribe Stemless Wine Tumblers - Bride Tribe,Georgia,Party Cups & Tumblers,$108.00,9
TUM700,#7768,Pink Ombre Confetti Tumbler,California,Party Cups & Tumblers,$108.00,9
TUM700,#8587,Pink Ombre Confetti Tumbler,Pennsylvania,Party Cups & Tumblers,$108.00,9
HAI1200,#7912,Team Bride Headband,Illinois,Hair Accessories,$105.00,15
SUN700-WHITE,#8139,Retro Heart Sunnies - White,Pennsylvania,Sunglasses,$104.00,13
SUN700-WHITE,#8475,Retro Heart Sunnies - White,California,Sunglasses,$104.00,13
SUN700-WHITE,#8756,Retro Heart Sunnies - White,New York,Sunglasses,$104.00,13
SUN800-PINKGREY,#8001,Retro Heart Sunnies - Light Pink (Classic Lenses),Virginia,Sunglasses,$104.00,13
SUN800-PINKGREY,#8335,Retro Heart Sunnies - Light Pink (Classic Lenses),Pennsylvania,Sunglasses,$104.00,13
SUN500-WHITE,#8913,Heart Sunnies - White,California,Sunglasses,$102.00,17
TAN300-BT-PINK-M,#7794,Bride Tribe Tanks - Bride Tribe (Pink) / M,New York,Tanks,$101.70,6
1.20E+11,1.18E+11,Acrylic Confetti Wine Tumbler - Pink & Mint Ombre,Tennessee,Party Cups & Tumblers,$100.00,10
30195400845,#1388,"Grey, Pink & Mint Bride Tribe Tanks - Bride Tribe (Mint Tank) / S",New York,Tanks,$100.00,5
30195543373,#1053,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) / S,Massachusetts,Tanks,$100.00,5
TAN1000-MER-M,#8169,You Had Me At Merlot Tanks - You Had Me At Merlot (Mauve) / M,California,Tanks,$100.00,5
TAN400-BT-BLACK-L,#3698,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) / L,North Carolina,Tanks,$100.00,5
TAN400-BT-BLACK-M,#3698,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) / M,North Carolina,Tanks,$100.00,5
TAN400-BT-BLACK-M,#6616,Bride Tribe Tanks - Bride Tribe (Black Tank) / M,Florida,Tanks,$100.00,5
TAN400-BT-BLACK-M,#6651,Bride Tribe Tanks - Bride Tribe (Black Tank) / M,Georgia,Tanks,$100.00,5
TAN400-BT-BLACK-S,#3698,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) / S,North Carolina,Tanks,$100.00,5
